V,V_matlab,A,A_matlab,s_real,s_real_matlab,s_imag,s_imag_matlab,real,imag
110.0,110.0,1.463699572979584e-20,0.0,27.145007448720715,-24.40048903027117,59.36629450982071,-9.39761634666315,110.0,2.810101448938165e-20
15.413356144330939,20.42197309348809,-10.157561340758507,-6.977282751903433,-19.839000000000592,19.83899999999999,-4.636994095936093,4.636994095910353,15.17177496294366,-2.718233269198987
10.501946705830305,19.96227187018379,1.9822743911039573,-7.964797543217193,1.6132234499192532e-16,6.63701034376581e-14,-4.661010284175325e-15,2.6519389887338545e-14,10.495662089491022,0.36326562639608473
6.082548665202707,19.243332566834063,58.693535995005725,-9.584912831459762,-0.5017000002182028,0.5017000000002398,-0.20888000629354497,0.20888000609125534,3.160586608854012,5.196930878171456
5.959684280935157,19.207272096840978,57.71973319820746,-9.68221933407819,-0.43165000022616695,0.4316500000000402,-0.10817998910088539,0.1081799890524211,3.182836148732211,5.038590157846648
5.8756574142792575,19.182555415671654,57.02828006181095,-9.749191189713839,-0.7275000003903213,0.7275000000001152,-0.18232995888859843,0.1823299589147448,3.197679759166745,4.929319852453289
5.775824403157539,19.153325508099964,56.18532387535447,-9.82851761867538,-0.5480500002869637,0.5480499999999883,-0.1373502039911644,0.13735020411333457,3.214295092860149,4.7987972026462336
7.104492141672449,19.130281757837913,82.24962143938292,-9.826660042025669,-0.07650000013480429,0.07650000000000332,-0.047409999677271636,0.04740999969155172,0.958093885945865,7.039592651339901
7.1211476921321415,19.135683998086293,82.31018859734078,-9.816651082365038,19.616633845974587,0.5868499999998205,-0.14707975667312567,0.1470797567497908,0.9528805030751872,7.0571072827340595
7.068443323982374,19.116599110329147,82.04170804397852,-9.854068007426363,-0.5737500010103361,0.5737500000001519,-0.3555799721154615,0.35557997239339956,0.9786415693961286,7.000367969114257
7.000973277050953,19.092257195744125,81.59258333170128,-9.915611153452769,-0.543300000643822,0.5432999999998153,-0.16126012456571462,0.16126012528952044,1.0236198917080208,6.925736722059337
6.990386089279634,19.088412568329616,81.5172781988566,-9.925787879801746,-0.32980000035201046,0.32979999999996334,-0.08265999622542358,0.08265999670262121,1.0311599283491026,6.913914005782925
